idAusgabe,Nachweis,Titel,Herausgeber,Verlag,Auflage,Art,Datierung,Ort,genutzt
1001,G 450,Misse Gaspar,,Petrucci,,7002,8257,6106,1
1003,1505/1,Fragmenta missarum,,Petrucci,,7008,8255,6106,1
1005,A 431,Misse Alexandri Agricole,,Petrucci,,7002,8252,6106,1
1006,Heyden 1537,"Musica id est, artis canendi libri duo",Sebald Heyden,J. Petreius,,7006,8288,6070,1
1007,B 4643,Misse Brumel,,Petrucci,,7002,8249,6106,1
1008,L 718,Misse Petri de la Rue,,Petrucci,,7002,8249,6106,1
1009,I 88,Misse henrici Jzac,,Petrucci,,7002,8256,6106,1
1010,1504/2,Harmonice musices Odhecaton A,,Petrucci,,7008,8252,6106,1
1011,[c.1535]/14,[3 Stimmbücher ohne Titelblatt],,Egenolff,,7008,8286,6028,1
1012,1538/9,Trium vocum carmina a diversis musicis composita,,Formschneider,,7008,8289,6070,1
1013,1507/5 oder 1507/6,Intabulatura de Lauto. Libro primo / secondo,Francesco Spinacino,Petrucci,,7010,8257,6106,1
1014,1536/12,Ein Newgeordnet Kuenstlich Lautenbuch I,"Newsiedler, H.",J. Petreius,,7010,8287,6070,1
1015,1562/24,Lautten Buch,"Heckel, Wolffen",Chr. Müller,,7010,,6095,1
1017,1509/1,Missarum diversorum auctorum. Liber primus,,Petrucci,,7008,8259,6106,1
1018,1522,Missarum decem a clarissimis musicis compositarum ... Liber primus,,G. Giunta,,7008,8280,6081,1
1019,1516/1,Liber quindecim missarum electarum quae per excellentissimos musicos compositae fuerunt,,A. Antico,,7008,8276,6081,1
1020,O 7,Misse obreht.,,Petrucci,,7002,8249,6106,1
1022,Heyden 1540,De arte canendi ... libri duo,Sebald Heyden,J. Petreius,2,7006,8294,6070,1
1027,1547/1,Dodechachordon,Heinrich Glareanus,H. Petri,,7006,8306,6009,1
1028,Erotemata 1563,Erotemata 1563,A. Wilphingseder,C. Heussler,,7006,8322,6070,1
1029,Sonnleitner-Forkel,Geschichte der Musik in Denkmälern,"Forkel, Johann Nicolaus; Sonnleithner, Ignaz von","<nie gedruckt, da 1806 zerstört>",,7008,,6169,0
1030,1539/1,"Liber quindecim missarum, à praestantissimis musicis compositarum",,J. Petreius,,7008,8291,6070,1
1033,J 673 (J 674),Missarum Josquin Liber Tertius,,O. Petrucci,,7002,8270,6027,1
1035,J 671,Missarum Josquin Liber secundus,,O. Petrucci,,7002,8272,6027,1
1039,J 668 (J 667),Liber primus Missarum Joquin,,O. Petrucci,,7002,8276,6027,1
1040,J 670,Missarum Josquin Liber secundus,,Petrucci,,7002,8255,6106,1
1041,J 666,Liber primus Missarum Joquin,,O. Petrucci,,7002,8246,6106,1
1042,J 669,Liber primus Missarum Joquin,,"Giunta, Pasoti & Dorico",,7002,8283,6081,1
1043,J 672,Libri secundi Missarum Josquin,,"Giunta, Pasoti & Dorico",,7002,8283,6081,1
1044,J 675,Missarum Josquin Liber Tertius,,"Giunta, Pasoti & Dorico",,7002,8283,6081,1
1046,1543/19,Il primo libro a due voci de diversi autori,,A. Gardane,,7008,8300,6106,1
1047,1553/26,Il primo libro a due voci de diversi autori novamente ristampato,,A. Gardane,,7008,8313,6106,1
1048,1545/6,"Bicinia gallica, latina, germanica, ex praestantissimis musicorum monumentis collecta ... Tomus primus",,G. Rhau,,7008,8303,6109,1
