idHandschrift,CensusCat,Bibliothek,Signatur,Art,Herkunft,Datierung,Inhalt,DIAMM_Online,Verloren,Notizen,genutzt
2001,VatS 14,10052,Capp.Sist. 14,7009,6065,,"Messen, Messteile",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1460,0,"Copied in Naples; probably brought to Rome in 1475 by chapel of Ferrante I, King of Naples, for presentation to papal chapel (RothS).",1
2002,VatS 23,10052,Capp.Sist. 23,7005,6081,8230,"Messen, Messteile",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1467,0,"Copied in Rome, for use by Cappella Sistina.",1
2003,VatS 35,10052,Capp.Sist. 35,7003,6081,8228,"Messen, Messteile, Motetten",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1471,0,"Copied in Rome, for use by Cappella Sistina.",1
2004,VatS 41,10052,Capp.Sist. 41,7005,6081,8344,"Messen, Messteile",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1473,0,"Copied in Rome, for use by Cappella Sistina.",1
2005,VatS 49,10052,Capp.Sist. 49,7003,6081,,"Messen, Motette",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1478,0,"Copied in Rome, for use by Cappella Sistina.",1
2006,VatS 51,10052,Capp.Sist. 51,7009,6063,,"Messen, Messteile",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1479,0,"Part I copied in Naples; probably brought to Rome in 1475, by chapel of Ferrante I, King of Naples, for presentation to papal chapel (RothS). Parts II and III copied in Rome, for use by Cappella Sistina.",1
2007,VatS 63,10052,Capp.Sist. 63,7003,6081,8223,"Messen, Magnificats, Motetten",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1481,0,"Copied in Rome, for use by Cappella Sistina. French heraldry probably connected with visit of King Charles VIII to Rome in 1495 (SherrPC).",1
2008,VatS 197,10052,Capp.Sist. 197,7005,6081,,Messe,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1484,0,"&nbsp;Copied in Rome, for use by Cappella Sistina.",1
2009,VatS 15,10052,Capp.Sist. 15,7001,6081,,"Magnificats, Hymnen, Motetten",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=805,0,"Copied in Rome, for use by Cappella Sistina. French heraldry probably connected with visit of entourage of King Charles VIII to Rome in 1495 (SherrPC).",1
2010,VatS 42,10052,Capp.Sist. 42,7001,6081,,"Passionen, Motetten",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1474,0,"Copied in Rome, for use by Cappella Sistina. Ca. 1503-12 (SherrPM), with additions and revisions in first half of 16th century (DeanS); date 1507 on f. 154 is later addition, and may refer to date of composition of Carpentras Salve regina rather than date of copy.",1
2011,VatS 44,10052,Capp.Sist. 44,7001,6081,,"Magnificats, Motetten, Benedictus",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1475,0,"Copied in Rome, for use by Cappella Sistina.",1
2012,VatS 46,10052,Capp.Sist. 46,7001,6081,,Motetten,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1477,0,"Copied in Rome, for use by Cappella Sistina.",1
2013,VienNB Mus. 15499,10002,MS Mus. 15499,7003,6020,8293,"8 Masses, 3 motets = 11, Brumel-1, (Certon)-2, (Janequin)-1, (Jaquet of Mantua)-1, (Josquin)-1, (La Rue)-1, Morales-1, (Sermisy)-1, (Vinders)-1, anon-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2658,0,1540 (date on f. 2). Probably of German origin.,1
2015,VienNB Mus. 18832,10002,MS Mus. 18832,7003,6016,8274,"89 bicinia*\n*A few items have text incipits or titles, but most pieces lack text, title, or other identification. Items identified from concordant sources include 43 Mass Ordinary sections, 3 Requiem Mass sections, 9 Magnificat sections, and 2 motets.\n(A. Agricola)-4, (Brumel)-4, (Brumel/Jhan of Ferrara)-1, (Brumel/Venalt)-1, (Compère)-2, (Divitis)-1, (A. Févin)-9, (A. Févin/ Mouton)-5, (Gascongne)-1, Isaac-2, (Josquin)-5, (Josquin/Ockeghem)-3, (La Rue)-5, (Obrecht)-2 + 1?, anon-43",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=3583,0,"1515-34, probably ca. 1521-5 (KellJ). Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ). Sent to Raimund Fugger the Elder (1489-1535), of Augsburg. Fugger library purchased by Emperor Ferdinand III and brought to Vienna in 1656.",1
2016,VienNB Mus. 15495,10002,MS Mus. 15495,7005,6016,8261,"7 Masses, Bruhier-1, Compère-1, A. Févin-1, Josquin-2, (Obrecht)-1, Therache-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2068,0,"1508-11 (KellJ). Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ). Prepared for Emperor Maximilian I and his wife, Bianca Maria Sforza (coats of arms on ff. 1v-2). Once in Schloss Ambras near Innsbruck. Transferred to Kunsthistorisches Staatsmuseum in Vienna in 1806; passed to Nationalbibliothek in 1936.",1
2017,VienNB Mus. 15497,10002,MS Mus. 15497,7005,6016,8267,"6 Masses (1 incomplete), 2 Kyries = 8, Barbireau-1, A. Févin-2, La Rue-3, Mouton/(A. Févin)-1, Prioris-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2070,0,"1512-6 (KellBP); ca. 1514-6 (WarmMC). Copied in Brussels/ Mechlin; belongs to Netherlands court complex (KellJ). Prepared for Ulrich Pfinzing (1481-1530), treasurer at court of Emperor Maximilian I (coat of arms on f. 10). Once in Schloss Ambras near Innsbruck. Transferred to Kunsthistorisches Staatsmuseum in Vienna in 1806; passed to Nationalbibliothek in 1936.",1
2018,VienNB Mus. 16746,10002,MS Mus. 16746,7003,6099,8214,"2 Masses (incomplete), 1 Kyrie-Gloria pair (with some German text), 7 Mass Proper sections, 1 motet, 2 Latin/German sacred piece = 13, (La Rue)-1, anon-12",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1987,0,First half of 16th century. Possibly of southwest German origin (watermark associated with Baden).,1
2019,VienNB 11778,10002,MS 11778,7005,6016,8279,"6 Masses, 2 Credos = 8, Josquin-5, Josquin/(Brumel)-2, Ockeghem/(Josquin)-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2067,0,"1521-34, probably ca. 1521-5 (KellJ). Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ). Sent to Raimund Fugger the Elder (1489-1535), of Augsburg. Fugger library purchased by Emperor Ferdinand III and brought to Vienna in 1656.",1
2021,VienNB 11883,10002,MS 11883,7003,6068,8213,"Messen, Messteile, Motette",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1985,0,"Vielleicht Niederlande, teilweise Brüssel/Mechlin, niederl. Hofkomplex; an Raimund Fugger d.Ä. nach Augsburg geschickt, Bibliothek von Ferdinand III gekauft und 1656 nach Wien gebracht",1
2022,VienNB 4809,10002,MS 4809,7005,6016,8279,7 Messen,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2065,0,"Kopiert in Brüssel/Mechlin, niederl. Hofkomplex; an Raimund Fugger d.Ä. nach Augsburg geschickt, Bibliothek von Ferdinand III gekauft und 1656 nach Wien gebracht",1
2023,VienNB 1783,10002,MS 1783,7005,6016,8238,"Messen, Messteile",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2064,0,"Kopiert in Brüssel/Mechlin; niederl. Hofkomplex; Hochzeitsgeschenk für Manuel I, König v. Portugal, und Marie v. Spanien",1
2024,BrusBR 9126,10004,9126,7003,6016,8254,"9 Masses, 3 Magnificats, 10 motets = 22\nA. Agricola-5, Barbireau-1, Josquin-7, La Rue-7, La Rue/(Josquin)-1, Orto-1",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1632,0,1505 (KellJ). Copied in Brussels/Mechlin; belongs to Netherlands court complex (KellJ).\n,1
2025,BrusBR 5557,10004,5557,7003,6017,8217,"11 Masses, 1 Kyrie (incomplete), 1 Agnus (incomplete), 2 Magnificats, 1 hymn, 8 motets (1 incomplete) = 24, Busnois-9 + 1?, Cockx-1, (Dufay)-3 + 1?, Frye-3, (Ockeghem)-1, Ockeghem/(Heyns)-1, (Plummer)-1, Regis-1, anon-2",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1629,0,1459-80 (KennO); ca. 1465-80 (WegmanB); ca. 1460-75 (CurtisEM); first five Masses 1468-71 (WarmB). Copied in Cambrai or the province of Hainaut (KennO). Probably copied mostly in Bruges; ff. 77-83 possibly copied in Paris (WegmanB). Compiled for Charles the Bold (KennO). Not owned by Charles the Bold; coat of arms may be that of one of Charles´ illegitimate brothers (CurtisEM). Heraldic evidence confirms arms as those of Charles the Bold (WarmB).,1
2026,BasU F.IV.25e-f,10005,F.IX.25e-f,7005,6009,8410,3 Masses (incomplete),http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=3828,0,Probably copied in Basel or vicinity (KmetzH). Acquired by present library in 17th century.,1
2027,BasU F.X.21,10005,F.X.21,7004,6009,8408,"1 Mass Ordinary section, 2 motets, 14 German sacred pieces, 80 German secular pieces, 2 Italian secular pieces = 99",http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1554,0,"Once owned by Georgius Hugoni; given in 1574 to Ludwig Iselin (1559-1612), of Basel (inscription on f. 100v). Acquired by present library from Iselin estate in 1669.",1
2028,BasU F.VI.26e,10005,F.VI.26e,7005,6009,8410,1 Mass,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=2816,0,"Probably copied in Basel or vicinity. Probalbly aquired by present library in 1823, from collection of Remigius Faesch, a Basel lawyer.",1
2029,BasU F.IV.25a-d,10005,F.IX.25a-d,7005,6009,8410,3 Masses,http://www.diamm.ac.uk/jsp/Descriptions?op=SOURCE&sourceKey=1968,0,Probably copied in Basel or vicinity (KmetzH). Acquired by present library in 17th century.,1
