idWerk,Titel,Komponist,Komponist_Bezeichnung,Bemerkung,Hs_Index,Handschrift,genutzt
8001,Missa Ave Regina caelorum,3005,Gaspar van Weerbeke,(lt. Roth),5,2001,1
8002,Missa Se la face ay pale,3012,Guillaume Dufay,(lt. Roth & Ergänzungen Wegman),6,2001,1
8003,Missa Spiritus almus,3026,Petrus de Domarto,(lt. Roth & Ergänzungen Wegman),7,2001,1
8004,Missa Aeterne rex altissime,3017,Johannes Vincenet,"​Unicum, (lt. Roth)",8,2001,1
8005,Missa Dixerunt discipuli,3020,Eloy d´Amerval,"​Unicum, (lt. Roth)",9,2001,1
8006,Missa sine nomine,3021,<anonym>,(lt. Roth & Ergänzungen Wegman),10,2001,1
8007,Missa Ecce ancilla domini,3012,Guillaume Dufay,(lt. Roth),11,2001,1
8008,Missa Ecce ancilla domini,3016,Johannes Regis,Angaben von Roth & CMM9,12,2001,1
8009,Missa L´homme armé,3012,Guillaume Dufay,(lt. Roth),13,2001,1
8010,Missa L´homme armé,3008,Antoine Busnois,(lt. Roth & Ergänzungen Wegman),14,2001,1
8011,Missa Dum sacrum misterim / L´homme armé,3016,Johannes Regis,L´homme armé-Messe\nUnicum (lt. Roth & CMM9),15,2001,1
8012,Missa L´homme armé,3031,Philippe Caron,(lt. Roth),16,2001,1
8013,Missa L´homme armé,3013,Guillaume Faugues,(lt. Roth),17,2001,1
8014,Missa De plus en plus,3002,Johannes Ockeghem,Roth & Collected Works (Plamenac) Bd. 1,18,2001,1
8015,Missa Puis que je vis,3021,<anonym>,Unicum,19,2001,1
8016,Missa de Angelis,3032,Prioris,Angaben nach CMM 90/1,1,2002,1
8017,Missa Je ne demande,3007,Agricola,CMM 22,2,2002,1
8018,Missa Gaudeamus,3001,Josquin,NJE 4.2,3,2002,1
8019,Missa Malheur me bat,3001,Josquin,NJE 9.1,4,2002,1
8020,Missa Le Serviteur,3007,Agricola,CMM 22,5,2002,1
8021,Missa L´ami baudichon,3001,Josquin,NJE 5.1,6,2002,1
8022,Missa Le villain jalloux,3034,Fevin,,7,2002,1
8023,Missa Faisant regret,3001,Josquin,NJE 8.1,8,2002,1
8024,Missa De beata virgine,3001,Josquin,NJE 3.3,9,2002,1
8026,Missa Quarti Toni,3019,Fresneau,(lt. Fresneau - Messe et chanson),13,2002,1
8027,Missa Dominicalis,3011,Brumel,CMM 52 Bd. 1&2,14,2002,1
8028,Missa Tant bel mi sont pensade,3032,Prioris,Angaben nach CMM 90/1,15,2002,1
8029,Missa Puer natus,3027,Rue,"CMM 97, Bd. 2 & 5",16,2002,1
8030,Missa Ave maris stella,3021,<anonym>,,17,2002,1
8031,Missa A qui diralle sa pensée,3021,<anonym>,,18,2002,1
8032,Missa Cujusvis toni,3002,Ockeghem,Collected Works (Plamenac) Bd. 1,4,2003,1
8033,Kyrie-Gloria De beata virgine,3021,<anonym>,,5,2003,1
8034,Missa Quant j´ay au ceur,3004,Isaac,"Staehelin, Isaac Messen Bd. 1",6,2003,1
8035,Missa La martinelle,3015,Martini,"Unicum; siehe Johannes Martini: Masses. Part 2. Masses with Known Polyphonic Models, Madison 1999",7,2003,1
8036,Missa Allez regrets,3032,Prioris,"Unicum (lt. CMM90/1, S. XVI)",8,2003,1
8037,Missa L´homme armé,3010,Compere,"Ludwig Finscher: ""Loyset Compere. Life and Works"", American Institute of Musicology 1964 (Musicological Studies and Documents 12)",9,2003,1
8038,Missa de Sancto Donatiano,3003,Obrecht,NOE 3,10,2003,1
8039,Missa L´homme armé,3028,Tinctoris,"Unicum (lt. Johanni Tinctoris Opera Omnia, hrsg. von William Melin, 1976, CMM 18)",11,2003,1
8040,Missa [ad fugam],3024,Orto,"Unicum (lt.  Miller, Ronald L: The Musical Works of Marbriano de Orto: Transcription and Commentary, Unpublished Ph.D. dissertation, Indiana University (1974) & Jesse Rodin Diss.)",12,2003,1
8041,Missa L´homme armé,3009,Basiron,"Unicum\n(Jeffrey Dean. ""Basiron, Philippe."" Grove Music Online. Oxford Music Online. Oxford University Press, accessed December 5, 2014, http://www.oxfordmusiconline.com/subscriber/article/grove/music/02217.)",13,2003,1
8042,Missa de Franza,3009,Basiron,"extract ed. in OHM, ii (1905, 2/1932), 194 (Jeffrey Dean. ""Basiron, Philippe."" Grove Music Online. Oxford Music Online. Oxford University Press, accessed December 5, 2014, http://www.oxfordmusiconline.com/subscriber/article/grove/music/02217.)",15,2003,1
8043,Missa Se mieulx ne vient,3005,Gaspar,Andrea Lindmayr: Die Gaspar van Weerbeke-Gesamtausgabe. Addenda et Corrigenda zum Werkverzeichnis; 1992,16,2003,1
8044,Missa L´homme armé,3002,Ockeghem,Collected Works (Plamenac) Bd. 1,17,2003,1
8045,Missa Princesse d´amourettes,3005,Gaspar,Andrea Lindmayr: Die Gaspar van Weerbeke-Gesamtausgabe. Addenda et Corrigenda zum Werkverzeichnis; 1992,18,2003,1
8046,Missa de feria,3015,Martini,"siehe Johannes Martini: Masses. Part 1. Masses without Known Polyphonic Models, Madison 1999",19,2003,1
8047,Missa Plurimorum carminum I,3003,Obrecht,NOE 10,20,2003,1
