idWerk,Titel,Bezeichnung,Konk_total,Konk_kern,Konk_Hs,Konk_Ausgaben,Konk_Tabulatur,Konk_Theorie
8001,Missa Ave Regina caelorum,Weerbeke,4,1,2,1,0,0
8002,Missa Se la face ay pale,Dufay,4,1,2,0,0,1
8003,Missa Spiritus almus,de Dormarto,8,1,4,0,0,3
8004,Missa Aeterne rex altissime,Vincenet,1,1,0,0,0,0
8005,Missa Dixerunt discipuli,Eloy,2,1,0,0,0,1
8006,Missa sine nomine,anonym,2,1,1,0,0,0
8007,Missa Ecce ancilla domini,Dufay,2,1,1,0,0,0
8008,Missa Ecce ancilla domini,Regis,2,1,1,0,0,0
8009,Missa L´homme armé,Dufay,5,2,2,0,0,1
8010,Missa L´homme armé,Busnoys,9,2,5,0,0,2
8011,Missa Dum sacrum misterim / L´homme armé,Regis,2,1,0,0,0,1
8012,Missa L´homme armé,Caron,2,1,1,0,0,0
8013,Missa L´homme armé,Faugues,3,1,2,0,0,0
8014,Missa De plus en plus,Ockeghem,3,1,1,0,0,1
8015,Missa Puis que je vis,anonym,1,1,0,0,0,0
8016,Missa de Angelis,Prioris,5,1,4,0,0,0
8017,Missa Je ne demande,Agricola,3,1,1,1,0,0
8018,Missa Gaudeamus,Josquin,22,1,9,5,4,3
8019,Missa Malheur me bat,Josquin,26,1,15,6,0,4
8020,Missa Le Serviteur,Agricola,5,1,2,1,0,1
8021,Missa L´ami baudichon,Josquin,15,1,10,4,0,0
8022,Missa Le villain jalloux,Fevin,2,1,0,1,0,0
8023,Missa Faisant regret,Josquin,21,1,7,4,9,0
8024,Missa De beata virgine,Josquin,87,2,47,8,23,7
8026,Missa Quarti Toni,Fresneau,2,1,1,0,0,0
8027,Missa Dominicalis,Brumel,4,1,3,0,0,0
8028,Missa Tant bel mi sont pensade,Prioris,2,1,1,0,0,0
8029,Missa Puer natus,de la Rue,11,1,9,1,0,0
8030,Missa Ave maris stella,anonym,1,1,0,0,0,0
8031,Missa A qui diralle sa pensée,anonym,1,1,0,0,0,0
8032,Missa Cujusvis toni,Ockeghem,6,1,2,1,0,2
